Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000007,Camden,1999,22266.4,,,3186.04,6302,6.988738371144117
E09000008,Croydon,1999,17300.399999999998,,,3603.6,6389,4.8008658008658
E09000009,Ealing,1999,19011.2,,,3120.0,7261,6.093333333333334
E09000010,Enfield,1999,15714.4,,,3332.16,4263,4.715980024968789
E09000011,Greenwich,1999,17108.0,,,3191.76,5454,5.360052134245683
E09000012,Hackney,1999,22588.8,,,2983.24,13480,7.571901690779153
E09000013,Hammersmith and Fulham,1999,21964.8,,,2916.6800000000003,4451,7.530754145123907
E09000014,Haringey,1999,16972.8,,,3036.28,7409,5.589998287377975
E09000015,Harrow,1999,17165.2,,,3278.6,2374,5.2355273592386995
E09000016,Havering,1999,9386.0,,,3154.32,1511,2.975601714474118
E09000017,Hillingdon,1999,18844.8,,,3194.88,7655,5.8984375
E09000018,Hounslow,1999,19500.0,,,3424.2,5188,5.694760820045558
E09000019,Islington,1999,23504.0,,,2983.76,12428,7.877309166957128
E09000020,Kensington and Chelsea,1999,18647.2,,,2749.76,7671,6.781391830559758
E09000021,Kingston upon Thames,1999,15886.0,,,3141.84,2846,5.056272757365111
E09000022,Lambeth,1999,21595.6,,,2840.24,13050,7.603441962651043
E09000023,Lewisham,1999,17940.0,,,2839.2000000000003,11520,6.318681318681318
E09000024,Merton,1999,16962.399999999998,,,3271.84,3345,5.184361093452002
E09000025,Newham,1999,16733.600000000002,,,3180.32,9537,5.26160889470242
E09000026,Redbridge,1999,15262.0,,,3410.6800000000003,2956,4.474767495044976
E09000027,Richmond upon Thames,1999,18824.0,,,3111.6800000000003,4667,6.049465240641711
E09000028,Southwark,1999,20763.6,,,2897.44,4645,7.16618808327351
E09000029,Sutton,1999,16442.399999999998,,,3012.88,1963,5.457369692785639
E09000030,Tower Hamlets,1999,25095.2,,,3029.0,6215,8.284978540772533
E09000031,Waltham Forest,1999,16707.600000000002,,,3204.24,7172,5.214216163583253
